City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
92,Teknaf,BD,2022-05-08 22:49:38,20.8624,92.3058,78.58,88,100,7.07
93,Morondava,MG,2022-05-08 22:49:39,-20.2833,44.2833,73.42,86,0,8.46
94,Cap Malheureux,MU,2022-05-08 22:50:40,-19.9842,57.6142,72.46,80,2,1.99
95,Cape Town,ZA,2022-05-08 22:49:33,-33.9258,18.4232,56.91,86,0,1.14
96,Niquero,CU,2022-05-08 22:50:40,20.0431,-77.5828,81.36,73,0,9.71
97,Petropavlovsk-Kamchatskiy,RU,2022-05-08 22:50:41,53.0452,158.6483,37.99,100,100,11.18
98,Deputatskiy,RU,2022-05-08 22:50:42,69.3,139.9,17.71,94,100,4.38
99,Salalah,OM,2022-05-08 22:45:55,17.0151,54.0924,84.29,74,40,5.75
100,Sao Jose Da Coroa Grande,BR,2022-05-08 22:50:43,-8.8978,-35.1478,77.0,83,28,8.43
101,Maracaibo,VE,2022-05-08 22:47:19,10.6317,-71.6406,83.17,73,66,7.31
102,Tilichiki,RU,2022-05-08 22:50:43,60.4667,166.1,31.78,91,100,1.52
103,Tonj,SS,2022-05-08 22:50:44,7.2737,28.6822,74.77,79,99,5.61
104,Kanniyakumari,IN,2022-05-08 22:50:44,8.0833,77.5667,83.03,81,98,17.76
105,Abbeville,FR,2022-05-08 22:50:45,50.1,1.8333,49.5,88,20,5.48
106,Yar-Sale,RU,2022-05-08 22:50:46,66.8333,70.8333,35.51,100,100,10.51
107,Ancud,CL,2022-05-08 22:50:47,-41.8697,-73.8203,50.67,88,53,4.07
108,Upernavik,GL,2022-05-08 22:50:47,72.7868,-56.1549,13.64,84,53,5.28
109,Saint-Pierre,RE,2022-05-08 22:50:48,-21.3393,55.4781,71.28,68,0,5.75
110,Itaituba,BR,2022-05-08 22:50:48,-4.2761,-55.9836,74.8,98,67,1.74
111,Khatanga,RU,2022-05-08 22:50:49,71.9667,102.5,7.11,95,37,9.37
112,Cairo,EG,2022-05-08 22:48:31,30.0626,31.2497,72.36,32,0,12.66
113,Pailon,BO,2022-05-08 22:50:50,-17.65,-62.75,82.08,54,10,4.92
114,Norman Wells,CA,2022-05-08 22:50:50,65.282,-126.8329,46.44,42,75,5.75
115,Rio Das Ostras,BR,2022-05-08 22:50:51,-22.5269,-41.945,73.33,83,72,4.03
116,Pevek,RU,2022-05-08 22:50:51,69.7008,170.3133,23.25,83,100,9.75
117,Victoria,HK,2022-05-08 22:50:52,22.2855,114.1577,77.38,78,98,1.01
118,Katsuura,JP,2022-05-08 22:50:52,35.1333,140.3,59.02,72,100,12.62
119,Grindavik,IS,2022-05-08 22:50:53,63.8424,-22.4338,50.47,93,100,19.57
120,Hofn,IS,2022-05-08 22:50:54,64.2539,-15.2082,46.15,99,100,8.08
121,Erzin,TR,2022-05-08 22:50:54,36.9559,36.2,58.75,72,50,2.08
