City_ID,City,Max Temp,Lat,Lng,Hotel Name
643,Ushumun,77.86,52.7833,126.5333,
644,Aden,84.04,12.7794,45.0367,
647,Dicabisagan,87.37,17.0818,122.4157,
648,Katherine,93.52,-14.4667,132.2667,
658,Malakal,83.79,9.5334,31.6605,
659,Sibu,82.71,2.3,111.8167,
666,Kosonsoy,84.4,41.2561,71.5508,
672,Kayes,91.35,14.0,-11.0,
673,Tiarei,80.62,-17.5333,-149.3333,
677,Lamar,78.78,33.6668,-95.5836,
678,Pontianak,82.38,-0.0333,109.3333,
679,Waw,77.09,7.7029,27.9953,
684,Puerto Carreno,76.41,6.189,-67.4859,
694,Magadi,87.76,12.9667,77.2333,
703,Tierranueva,75.43,21.6833,-100.5667,
704,Emerald,75.34,-23.5333,148.1667,
706,Narasannapeta,84.58,18.4167,84.05,
