City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
140,Gat,31.61,34.7642,68.4,31,4,4.27
141,Ulety,51.3572,112.4849,37.53,80,100,16.69
142,Balkanabat,39.5108,54.3671,61.05,64,29,11.63
143,Fortuna,40.5982,-124.1573,46.98,93,100,3.44
144,Artesia,33.8658,-118.0831,62.15,67,0,5.75
145,Touros,-5.1989,-35.4608,77.09,87,100,11.56
146,Noyon,49.5833,3.0,48.85,88,0,4.32
147,Oropesa,-13.5928,-71.7719,48.06,76,58,4.61
148,Vysokoye,52.3709,23.3708,44.44,76,42,9.26
149,Victoria,22.2855,114.1577,82.45,77,100,10.0
150,Cabo San Lucas,22.8909,-109.9124,77.5,56,14,14.05
151,Hithadhoo,-0.6,73.0833,84.16,78,99,20.87
152,Georgetown,5.4112,100.3354,87.73,77,20,6.91
153,Lebu,-37.6167,-73.65,55.45,97,100,5.91
154,Nantucket,41.2835,-70.0995,47.01,62,75,20.71
155,Castro,-24.7911,-50.0119,48.97,99,23,4.34
156,San Patricio,28.017,-97.5169,81.18,90,2,13.04
157,Loreto,22.2667,-101.9667,73.76,20,57,13.38
158,Dakar,14.6937,-17.4441,68.88,89,5,16.78
159,Cascais,38.6979,-9.4215,65.55,56,3,3.0
160,Sokolovo-Kundryuchenskiy,47.8354,39.9471,45.75,50,77,4.47
161,Fukue,32.6881,128.8419,70.16,64,0,14.97
162,Burnie,-41.0667,145.9167,60.94,62,98,2.21
163,Hovd,48.0056,91.6419,35.46,51,100,5.5
164,Caravelas,-17.7125,-39.2481,73.87,79,11,8.77
165,Iquique,-20.2208,-70.1431,59.04,73,18,4.27
166,Atuona,-9.8,-139.0333,78.84,75,5,13.87
167,Praia,14.9215,-23.5087,70.34,78,20,13.8
168,Leh,34.1667,77.5833,50.04,37,6,3.13
169,Olafsvik,64.8945,-23.7142,43.43,93,100,16.8
170,Dargaville,-35.9333,173.8833,61.97,93,100,9.84
171,Hobyo,5.3505,48.5268,83.89,74,99,14.23
172,Punta Gorda,26.9298,-82.0454,78.01,78,1,10.0
173,Aykhal,66.0,111.5,18.79,83,100,21.81
174,Petropavlovsk-Kamchatskiy,53.0452,158.6483,39.79,87,75,17.9
175,Gizo,-8.103,156.8419,84.87,72,62,8.08
176,Marsa Matruh,31.3525,27.2453,63.72,90,0,19.3
177,Norman Wells,65.282,-126.8329,37.44,56,75,17.27
178,Lake City,30.1897,-82.6393,68.86,82,0,0.0
179,Aklavik,68.2191,-135.0107,41.16,82,65,4.36
180,Mayumba,-3.432,10.6554,75.83,93,24,6.38
181,Mattru,7.6244,-11.8332,74.03,95,98,0.94
182,Darhan,49.4867,105.9228,44.1,39,61,11.86
183,Hamilton,39.1834,-84.5333,59.85,69,0,8.05
184,Hofn,64.2539,-15.2082,44.13,89,100,2.91
185,Kukuna,9.4,-12.6667,76.3,92,100,3.22
186,Markala,13.7021,-6.0659,88.84,37,84,4.83
187,Okhotsk,59.3833,143.3,40.32,67,83,6.46
188,Lagoa,39.05,-27.9833,61.63,86,91,8.21
189,Menton,43.7765,7.5044,64.11,61,34,8.7
190,Suez,29.9737,32.5263,72.88,21,1,4.41
191,East London,-33.0153,27.9116,56.34,88,0,4.61
